source_name,source_group,load_type,adf_pipeline_name,status,window_start,window_end,files_read,started_at,ended_at,duration_sec,error_message
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:41:15.6556093,2026-09-06T20:54:40.1748491,94.0,2026-09-06T20:54:40.0000000,2026-09-06T20:55:08.0000000,28,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:43:59.1070930,2026-09-06T20:56:51.6196203,1.0,2026-09-06T20:56:52.0000000,2026-09-06T20:57:27.0000000,35,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:45:00.9147896,2026-09-06T20:57:38.4204043,1.0,2026-09-06T20:57:38.0000000,2026-09-06T20:58:08.0000000,30,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:45:56.9722131,2026-09-06T20:58:20.0904418,1.0,2026-09-06T20:58:20.0000000,2026-09-06T20:58:44.0000000,24,
olist_products,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:32:41.6376017,2026-09-06T20:58:55.4437030,1.0,2026-09-06T20:58:55.0000000,2026-09-06T20:59:23.0000000,28,
olist_sellers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:47:13.6199582,2026-09-06T20:59:50.5580433,1.0,2026-09-06T20:59:51.0000000,2026-09-06T21:00:25.0000000,34,
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:47:50.1215902,2026-09-06T21:01:04.2551050,1.0,2026-09-06T21:01:04.0000000,2026-09-06T21:01:38.0000000,34,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:48:26.8753460,2026-09-06T21:01:53.8283450,1.0,2026-09-06T21:01:54.0000000,2026-09-06T21:02:25.0000000,31,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:49:13.2407808,2026-09-06T21:03:03.7938546,1.0,2026-09-06T21:03:04.0000000,2026-09-06T21:03:33.0000000,29,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:49:56.7359610,2026-09-06T21:03:47.5608333,1.0,2026-09-06T21:03:48.0000000,2026-09-06T21:04:16.0000000,28,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T20:50:45.3120513,2026-09-06T21:04:33.2164620,22.0,2026-09-06T21:04:33.0000000,2026-09-06T21:05:06.0000000,33,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T20:51:40.1649251,2026-09-06T21:05:17.0389639,22.0,2026-09-06T21:05:17.0000000,2026-09-06T21:05:45.0000000,28,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:52:23.7827792,2026-09-06T21:06:02.7011040,22.0,2026-09-06T21:06:03.0000000,2026-09-06T21:06:35.0000000,32,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:53:05.3064232,2026-09-06T21:06:50.5340823,22.0,2026-09-06T21:06:51.0000000,2026-09-06T21:07:35.0000000,44,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:53:56.9207239,2026-09-06T21:07:58.4251854,22.0,2026-09-06T21:07:58.0000000,2026-09-06T21:08:28.0000000,30,
